# This dataset provides a comprehensive look at Airbnb prices in London. ,,,,,,,,,,,,,,,,,
# The dataset includes information such as realSum (the total price of the listing); multi (indicator if the listing belongs to hosts with 2-4 offers); biz (indicator if the listing belongs to hosts with more than 4 offers); bedrooms (0 for studios); dist (distance from city center) ; attr_index (accessibility of attractions within the city); rest_index (accessibility of restaurants within the city) etc. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat
129,250.24,Private room,FALSE,TRUE,2,FALSE,0,1,8,86,1,2.504378028,0.702366017,417.3254534,775.2223556,-0.146,51.489
130,508.95,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,91,1,2.327083156,0.482898351,448.9104197,848.913166,-0.14668,51.49117
131,238.48,Private room,FALSE,TRUE,2,FALSE,0,1,9,89,1,3.783550659,0.326139303,396.9096494,991.5860713,-0.07505,51.51753
132,128.88,Private room,FALSE,TRUE,2,FALSE,0,0,9,95,1,7.771005638,2.622068864,143.0111627,300.6139675,-0.11475,51.43894
133,270.7,Private room,,TRUE,2,FALSE,0,0,10,99,1,2.354860623,0.39105377,454.6600277,891.7239,-0.15105,51.49309
134,270.7,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,96,1,7.745779728,0.656567172,174.0541089,375.2698886,-0.01726,51.49777
135,212.61,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,3.753819961,0.326139603,401.2007526,1003.485475,-0.07541,51.51734
136,212.61,Private room,FALSE,TRUE,2,,0,1,9,87,1,3.822886737,0.149070356,404.7043583,922.2702662,-0.07386,51.51605
137,302.69,Private room,FALSE,TRUE,2,FALSE,0,1,9,89,1,3.856866462,0.188946413,394.8649822,952.3524126,-0.07359,51.51666
138,212.61,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,,0.313104821,400.1491629,994.6201454,-0.07522,51.51729
139,199.68,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,3.868662065,0.287174814,387.219345,1019.360394,-0.0738,51.51758
140,212.61,Private room,FALSE,TRUE,2,FALSE,0,1,9,85,1,3.689216533,0.240490505,417.4736608,997.1453843,-0.07588,51.51616
141,199.68,Private room,FALSE,TRUE,3,TRUE,1,0,10,98,1,8.065203302,4.63361526,145.8929618,291.4354734,-0.04946,51.45467
142,2190.08,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,98,2,1.852248216,0.420519968,550.3849202,1036.185631,-0.14832,51.49791
143,167.69,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,13.86294228,5.928811286,88.46848972,181.6882687,0.05506,51.45805
